F9,F7,F3,Fz,F4,F8,F10,FC5,FC1,FC2,FC6,T9,T7,C3,C4,T8,T10,CP5,CP1,CP2,CP6,P9,P7,P3,Pz,P4,P8,P10
-7.8901,-20.4621,-17.8936,-14.5159,-3.7467,-7.4627,-12.0568,-7.3673,-5.6249,-4.6867,0.2488,0.1846,-2.2027,11.8986,12.4015,9.0498,-0.5569,-1.3065,-4.5859,-1.9886,-3.2778,-4.753,-2.8182,-6.2918,-6.823,-1.8098,5.6977,1.2193
-2.7297,-10.1238,-6.7,-6.1671,-2.0254,-1.0762,-0.5407,3.7472,5.1391,-0.0007,3.5142,7.5764,8.6216,16.7625,13.7707,12.5685,2.399,4.3039,0.9722,1.5018,-1.8964,-4.8653,-2.1758,-2.0783,-1.671,-0.1967,3.3263,2.6673
0.1383,-4.4272,-1.5112,-1.6484,-0.4372,3.6542,6.6817,10.3954,12.8868,4.3887,6.89,13.3126,16.208,19.1497,14.2527,14.5602,5.835,8.2213,4.262,4.8889,0.8539,-3.5096,-0.4489,0.3314,-0.1201,0.4537,1.3467,3.1021
-1.139,-4.6089,-4.1898,-3.2295,-1.2464,1.3168,2.5237,5.1329,8.2236,1.662,2.7888,8.138,10.3948,10.6207,5.9288,7.2003,1.5555,3.1165,-1.0182,0.389,-1.6354,-3.6516,-3.0949,-5.192,-5.9262,-4.0401,0.8887,-0.2164
-0.5027,-1.1447,-2.5583,-1.5515,-1.2704,0.778,1.6884,2.6186,5.5138,-0.0016,-0.6324,4.0712,6.1966,2.8246,-1.474,0.5707,-1.9092,-0.5721,-3.7852,-2.7907,-3.4174,-3.5157,-4.6712,-7.5524,-8.0416,-6.3183,0.0988,-2.3427
-0.971,0.2084,-2.4649,-1.6815,-1.3089,-0.551,-0.7517,-0.426,1.7495,-0.9784,-2.4298,0.1669,1.8258,-3.4068,-7.359,-4.167,-3.4268,-2.6771,-5.6989,-4.3346,-3.4765,-1.8897,-5.0624,-9.0961,-9.4568,-8.0552,-1.3433,-4.2639
-3.0582,-1.0411,-3.9181,-4.3595,-2.4498,-4.3959,-6.4101,-5.0265,-5.0164,-3.5908,-4.8818,-5.5241,-4.3446,-8.4711,-13.0113,-7.9427,-5.7454,-4.7758,-8.4732,-6.8735,-4.7749,-0.7199,-6.9468,-12.1807,-11.1308,-10.925,-2.9633,-6.6066
-4.1294,-1.9491,-4.1109,-5.8093,-3.308,-6.5787,-9.0859,-6.5242,-8.1937,-5.1536,-5.9568,-7.9578,-6.7055,-9.076,-14.4614,-8.3698,-6.8901,-5.1142,-9.3137,-8.0753,-5.948,-0.7574,-8.3668,-13.4749,-11.0465,-12.1127,-3.6281,-7.3349
-6.9579,-7.0342,-9.0083,-10.3982,-4.9353,-10.46,-14.941,-11.0448,-13.2746,-8.1973,-8.0845,-11.4457,-10.9656,-9.9568,-15.5411,-9.3015,-9.2754,-7.467,-12.63,-10.8467,-8.2704,-1.8454,-10.7255,-17.41,-14.2881,-14.646,-2.9074,-8.6119
-9.3525,-10.9372,-11.9574,-14.0576,-6.354,-14.3852,-20.4895,-15.077,-19.1173,-11.1423,-9.9302,-15.5316,-15.8162,-10.6779,-16.2378,-9.7683,-11.1718,-8.9722,-14.5491,-12.8735,-10.0634,-2.2806,-12.4188,-19.4375,-14.9098,-15.8306,-2.6392,-9.2961
-10.2945,-12.7065,-12.6585,-15.4265,-6.6649,-16.0533,-22.8902,-16.6871,-22.1731,-12.0162,-9.9128,-17.3461,-18.2897,-10.1644,-15.0109,-8.8738,-10.8976,-8.6834,-13.9567,-12.5134,-9.75,-1.6831,-11.8873,-18.221,-12.9564,-14.6174,-2.5503,-8.7347
-12.688,-17.5848,-17.3684,-19.4959,-8.0012,-18.9581,-27.3772,-20.0273,-25.4569,-14.2597,-11.2631,-19.2747,-20.8368,-9.7389,-14.7659,-8.8021,-12.5283,-10.3812,-16.6202,-14.5392,-11.5898,-2.9165,-13.74,-21.5337,-16.0104,-16.6093,-1.5655,-9.5365
-11.1931,-15.3204,-12.5335,-17.1586,-8.3449,-18.2742,-24.2244,-15.6476,-23.1249,-14.4771,-10.8672,-17.3181,-17.4541,-4.1581,-10.8272,-4.7039,-12.5643,-7.8466,-13.7519,-14.0313,-13.2167,-5.0053,-14.9153,-19.2286,-11.3716,-14.8489,-1.2644,-7.6585
-6.2056,-7.0759,0.0386,-8.785,-6.4299,-14.097,-15.424,-7.0064,-18.4733,-11.786,-7.6763,-13.6497,-12.5506,3.0223,-2.7954,1.8637,-8.8885,-1.639,-4.0979,-8.6927,-10.8954,-4.6224,-11.0836,-7.278,3.2996,-5.7099,-1.3919,-2.16
-5.9919,-8.4571,1.0242,-8.5303,-5.4876,-13.6217,-14.8961,-5.843,-18.8435,-10.1553,-4.377,-12.3208,-12.2297,7.8863,4.2866,7.0488,-4.8023,1.9392,0.8141,-4.2308,-7.3299,-2.7013,-6.8771,-0.3981,10.2802,0.2201,-0.818,1.1661
-7.2507,-14.1067,-3.3556,-11.6588,-4.8327,-11.7782,-13.3677,-2.2807,-13.2873,-5.8627,2.1966,-4.8504,-4.7605,18.3376,14.2347,16.2898,2.093,7.817,4.4876,1.7545,-2.547,-1.2291,-3.1764,2.4468,11.0012,2.754,-0.4176,3.5087
-5.5259,-15.0335,-3.1701,-10.1188,-3.1006,-6.3729,-5.9339,5.5031,-2.5438,-0.04,9.1531,5.7731,6.7233,29.877,25.5148,25.9099,9.175,14.3616,10.2063,8.5145,2.1566,-0.9516,1.1651,7.7943,13.8962,7.2145,0.6809,7.2185
-4.2359,-15.714,-3.7604,-8.7383,-2.0132,-3.4502,-2.2198,7.9473,2.2008,1.9589,11.2998,10.163,10.6606,34.0453,31.5975,29.205,11.3897,15.5266,12.4765,10.9395,3.7747,-1.7839,3.7121,11.1195,15.3841,10.7227,2.9746,9.7349
-3.5226,-16.7745,-5.4651,-8.2406,-1.1207,-0.9284,0.5817,9.6439,6.588,3.9665,13.2468,14.1662,14.3304,36.851,35.6503,31.3576,13.3637,16.2446,13.4958,12.8172,5.3617,-2.1998,5.6738,12.5842,14.7208,12.4733,4.5855,11.1093
-2.0584,-15.9703,-5.557,-6.4759,0.1057,2.6601,5.1014,12.9072,12.67,6.9144,15.7262,19.2228,19.6305,39.5897,38.9265,33.4286,15.8567,17.7273,15.0562,15.2018,7.3968,-2.2487,7.7415,14.246,14.1964,13.9393,5.4402,12.2731
-0.0114,-11.8412,-2.6189,-3.0868,0.5679,4.6405,8.4274,14.3618,15.155,6.8529,14.0323,19.6358,20.6406,36.8429,36.2479,30.4658,13.8352,15.9612,14.3398,13.6018,5.8608,-3.6229,6.7584,13.6614,13.3742,13.3593,5.8513,11.9064
